,Country/Region,Population,confirmed per,mortality rate,recover rate
24,Bulgaria,6942854.0,0.003520990391303378,0.036849219625668984,0.651137219801044
25,Burkina Faso,20954852.0,0.00010731537391806814,0.027248334398393935,0.6808370852246537
26,Burundi,11922216.0,4.3727888618469366e-05,0.0019187462460220068,0.9186685720110456
27,Cabo Verde,556581.0,0.012398415005582697,0.010557699492740723,0.8573171399565931
28,Cambodia,16741375.0,1.680467305303975e-05,0.0,0.985007319198848
29,Cameroon,26606188.0,0.0007951471038742315,0.019935455523580482,0.9435671880891898
30,Canada,37775022.0,0.00034298531388751453,inf,0.8253885354584378
31,Chad,16467965.0,7.79324518171425e-05,0.06990623687579059,0.8630304026964191
32,Chile,19132514.0,0.0014711919880047936,0.017655093780998287,0.9039326153288902
33,Colombia,50936262.0,0.0005181370406074863,inf,inf
34,Comoros,871326.0,0.0005661868615573657,0.014191025429358125,0.9625764198866908
35,Costa Rica,5098730.0,0.016946671033767232,0.012249285837169603,0.5944831528023676
36,Croatia,4102577.0,0.004903110627512631,0.015969742227885168,0.8584805093219092
37,Cuba,11325899.0,0.0005249080497323483,0.020708006157841505,0.9098313771467831
38,Cyprus,1208238.0,0.001697789122121083,0.011784805370299615,0.6938481238530281
39,Czechia,10711019.0,0.01073579253082996,0.008543749311372396,0.4740671694512857
40,Denmark,5794279.0,0.001859807016669501,0.007003403158095257,0.8917073316225766
41,Diamond Princess,,,0.018258426966292138,0.9199438202247193
42,Djibouti,989387.0,0.005487516793507272,0.011235442364231754,0.9868527645197447
43,Dominica,72004.0,0.0004413335061632379,0.0,0.7893722167915718
44,Dominican Republic,10858648.0,0.010806430250084747,0.018435504009411796,0.7946705758695389
45,Ecuador,17668824.0,0.008248936092181348,0.08239590228443872,0.8425994729812577
46,Egypt,102516525.0,0.001017907980092857,0.05782560575995074,0.9356374468749346
47,El Salvador,6489514.0,0.0046476515806884765,0.02932283999779974,0.8361820165643368
48,Equatorial Guinea,1407001.0,0.0035953539952471017,0.01640754667700744,0.971230361831491
49,Eritrea,3551175.0,0.00011545474385238683,0.0,0.8966441654385738
50,Estonia,1326627.0,0.0028592563445992477,0.017799581960717435,0.7683326679761328
51,Eswatini,1161348.0,0.004862022408442602,0.02002275126948756,0.9289420418577922
52,Ethiopia,115223736.0,0.0007194413677249819,0.01538713501806561,0.44692283755778245
53,Fiji,897095.0,3.567069262452696e-05,0.0625,0.8958333333333334
54,Finland,5541604.0,0.0021146705298080966,0.029848563169908044,0.7315474641105139
55,France,65288306.0,0.001030613044210089,0.010282754347285036,0.6168937521695099
56,Gabon,2230563.0,0.003960360381362614,0.006112953992355882,0.9310147996470958
